,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,0_percentage,nan_percentage,auc,ks,psi
feature11,15511.0,0.03997163303462059,0.19589889159087878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6408865935011836,0.3324295244243598,0.5043539894462734,0.008707978892546805,0.09248777642940686
feature12,15511.0,0.21255882921797434,0.4091312319174401,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5256724768667957,0.3324295244243598,0.5062418574156469,0.012483714831293763,0.0924678610901775
feature13,15511.0,0.2556250402939849,0.43622602781059533,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.4969227458575425,0.3324295244243598,0.49109890798213873,0.0,0.09268002628646957
feature14,19409.0,0.3129991241176774,0.4637259448269497,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5738756186787175,0.16466537551108243,0.47928920829124083,0.0,0.08157225488900138
feature15,19409.0,0.2267504765830285,0.4187406501618793,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6459221002797504,0.16466537551108243,0.4975543736122479,0.0,0.08193025564046322
feature16,19409.0,0.04822505023442733,0.2142469596919842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7950505702603831,0.16466537551108243,0.5017190554518672,0.0034381109037346508,0.08145550200943258
feature17,10251.0,33548.57537360704,62701.292470417706,0.0,0.0,628.1884745,6348.7574085,16411.55978,37792.51955,121056.34945,250878.17479999998,2227122.86,0.016569829997848073,0.558812136862492,0.5388044355471672,0.06113854575069855,0.014022399594051736
feature18,10986.0,85005.11532536153,176763.15181563413,0.0,0.0,0.0,0.0,29007.87245,96086.89950249999,335810.21555,866025.4038,3187763.312,0.1470195825263611,0.5271788250484183,0.5322722845218737,0.07434912810508243,0.018038217420243436
feature19,10986.0,34697.414490682066,75759.39640405592,0.0,0.0,0.0,5294.012505,14572.87417,35014.88244249999,128591.6888,324128.6587199998,2001146.381,0.025005379814934368,0.5271788250484183,0.5113135235939242,0.03355915801050047,0.01724513387815974
feature20,10986.0,15.02111778627344,36.76701870085112,0.0,1.0,2.0,5.0,9.0,17.0,29.0,136.59999999999854,705.0,0.00038734667527437055,0.5271788250484183,0.4807939830669621,0.013162123018184868,0.014349344866506214
feature21,8754.0,1.2497144162668494,0.4328724194027499,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.6232408005164622,0.5019603447445273,0.003920689489054802,0.01066322376195884
feature22,10251.0,7721284.722758755,12180236.270080892,0.0,0.0,143822.5,1259671.0,3643503.0,9189614.5,28475351.5,55553690.5,280615525.0,0.008564665375511083,0.558812136862492,0.5639844946065387,0.10188978908158797,0.013552811614422598
feature23,10251.0,129330.63582595033,170006.1946061207,0.0,0.0,6965.0088385,33479.964289999996,78329.14286,161807.27779999998,421321.20585,784256.2083,4942857.143,0.008564665375511083,0.558812136862492,0.5563037291616265,0.09159853662770623,0.014877393979342457
feature24,10251.0,0.8407040513583058,0.22577461730928808,0.0,0.0,0.333333333,0.783783784,0.9302325579999999,1.0,1.0,1.0,1.0,0.011319130621906606,0.558812136862492,0.5122271643560627,0.035942835403858564,0.015530002735424039
feature25,10251.0,17.790557018827432,33.125775574419364,0.0,0.0,0.0,0.0,6.0,21.0,78.0,153.0,640.0,0.14361953948784162,0.558812136862492,0.5287634651858116,0.05709561967094434,0.015031964926016845
feature26,10251.0,19.55360452638767,29.6404721569858,0.0,0.0,0.0,3.0,10.0,25.0,70.0,128.5,558.0,0.043554981708629224,0.558812136862492,0.5168377381627328,0.0438604477653286,0.01422421126180084
feature27,10251.0,0.23861445007599263,0.17849928611853438,0.0,0.0,0.0,0.11086529,0.21126760600000002,0.3368993135,0.571428571,0.8,1.0,0.043554981708629224,0.558812136862492,0.4866590549392509,0.0,0.013621505094272174
feature28,10251.0,65.04819042044679,79.03889514504542,0.0,0.0,3.0,17.0,39.0,84.0,209.5,377.0,1227.0,0.009210243167635032,0.558812136862492,0.5291198436163986,0.04390754013470266,0.014063722029800557
